url,description,areas,levels,title,company,locations,expire_at,slug,is_homebased
https://untalent.org/jobs/visibility-and-communications-officer,"UNDP works to eradicate poverty, reduce inequalities, and protect the planet through the sustainable development of nations, in more than 170 countries and territories. We help countries develop stro…","[{'name': 'Communications & PR'}, {'name': 'Admin'}]",[{'name': 'Volunteering'}],Visibility and Communications Officer,"{'name': 'United Nations Development Programme', 'logo_url': 'https://upload.wikimedia.org/wikipedia/commons/9/9f/UNDP_logo.svg'}","[{'name': 'Harare', 'latitude': -17.831773, 'longitude': 31.045686}]",2025-03-19T00:00:00+00:00,visibility-and-communications-officer,False
https://untalent.org/jobs/teach-english-to-unfpa-madagascar-and-comoros-personnel-1,"The expected results will be an improved English level from all UNFPA Madagascar and Comoros personnel who will have taken part in the English training programme.

Our personnel mostly speak French, …",[],[{'name': 'Volunteering'}],Teach English to UNFPA Madagascar and Comoros personnel,{'name': 'UNFPA Madagascar'},[],2025-03-19T00:00:00+00:00,teach-english-to-unfpa-madagascar-and-comoros-personnel-1,True
https://untalent.org/jobs/futures-and-inclusion-engagement-officer,This assignment is part of UNV’s disability inclusion strategy. UNV seeks to 1) provide opportunities for persons with disabilities to serve as UN Volunteers 2) enable UN partners to expand diversity…,[{'name': 'Communications & PR'}],[{'name': 'Volunteering'}],Futures and Inclusion Engagement Officer,"{'name': 'United Nations Development Programme', 'logo_url': 'https://upload.wikimedia.org/wikipedia/commons/9/9f/UNDP_logo.svg'}","[{'name': 'Suva', 'latitude': -18.1415884, 'longitude': 178.4421662}]",2025-03-19T00:00:00+00:00,futures-and-inclusion-engagement-officer,False
https://untalent.org/jobs/project-advisor-1,UNDP Indonesia and the Ministry of Health have been working together in a long-term partnership on health governance that is aimed at narrowing health development gaps and meeting the SDGs commitment…,"[{'name': 'Communications & PR'}, {'name': 'Medical & Health'}]",[{'name': 'Volunteering'}],Project Advisor,{'name': 'UNDP Indonesia'},"[{'name': 'Jakarta', 'latitude': -6.1753942, 'longitude': 106.827183}]",2025-03-13T00:00:00+00:00,project-advisor-1,False
https://untalent.org/jobs/detection-of-acute-public-health-events-through-media-social-media,The current assignment is proposed by the Health emergency information and risk assessment Unit (HIM) of the WHE Programme. HIM provides authoritative information for public health decision-making in…,[{'name': 'Medical & Health'}],[{'name': 'Volunteering'}],detection of acute public health events through media/social media,"{'name': 'World Health Organization', 'logo_url': 'https://www.who.int/images/default-source/infographics/who-emblem.png'}",[],2025-03-19T00:00:00+00:00,detection-of-acute-public-health-events-through-media-social-media,True
https://untalent.org/jobs/srh-programme-and-communication-support,"The 7th Country Programme of support (2022-2026) has two more years to be completed. However, with the key staff position in the SRH team frozen, there is a need for support staff to help with prepar…","[{'name': 'IT & Telecom'}, {'name': 'Communications & PR'}, {'name': 'Admin'}]",[{'name': 'Volunteering'}],SRH programme and communication support,{'name': 'United Nations Population Fund'},"[{'name': 'Vientiane', 'latitude': 17.9640988, 'longitude': 102.6133707}]",2025-03-19T00:00:00+00:00,srh-programme-and-communication-support,False
https://untalent.org/jobs/junior-full-stack-software-developer-hse-ts-cs-2025-36-grae,"Job Description
---------------



**Your responsibilities**

Join a vibrant and dynamic team of software engineers at CERN, where diverse technical expertise meets a shared commitment to safety and …",[],[{'name': 'Entry'}],Junior Full Stack Software Developer (HSE-TS-CS-2025-36-GRAE),{'name': 'European Organization for Nuclear Research'},"[{'name': 'Geneva', 'latitude': 46.2017559, 'longitude': 6.1466014}]",,junior-full-stack-software-developer-hse-ts-cs-2025-36-grae,
https://untalent.org/jobs/assistant-of-department-safety-officer-ep-di-2025-29-grap,"Job Description
---------------



**Your responsibilities**

We are seeking an Assistant Department Safety Officer to join the EP Safety Office. In this role, you will support the department in ensu…",[],[{'name': 'Entry'}],Assistant of Department Safety Officer (EP-DI-2025-29-GRAP),{'name': 'European Organization for Nuclear Research'},"[{'name': 'Geneva', 'latitude': 46.2017559, 'longitude': 6.1466014}]",,assistant-of-department-safety-officer-ep-di-2025-29-grap,
https://untalent.org/jobs/particle-accelerator-operator-be-op-psb-2025-41-ld,"Company Description
-------------------



At CERN, the European Organization for Nuclear Research, physicists and engineers are probing the fundamental structure of the universe. Using the world's l…",[],[],Particle Accelerator Operator (BE-OP-PSB-2025-41-LD),{'name': 'European Organization for Nuclear Research'},"[{'name': 'Geneva', 'latitude': 46.2017559, 'longitude': 6.1466014}]",,particle-accelerator-operator-be-op-psb-2025-41-ld,
https://untalent.org/jobs/materials-engineer-for-composites-and-polymers-te-msc-smt-2025-37-grae,"Job Description
---------------



We are seeking a skilled and motivated Materials Engineer to join our dynamic Polymer Laboratory team, which is part of the [Superconducting Magnet Technology (SMT)…",[],[{'name': 'Entry'}],Materials Engineer for Composites and Polymers (TE-MSC-SMT-2025-37-GRAE),{'name': 'European Organization for Nuclear Research'},"[{'name': 'Geneva', 'latitude': 46.2017559, 'longitude': 6.1466014}]",,materials-engineer-for-composites-and-polymers-te-msc-smt-2025-37-grae,
